"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Bamberg";"2021";"23";8;32;2
"LK Bamberg";"2021";"24";0;12;5
"LK Bamberg";"2021";"25";0;6;3
"LK Bamberg";"2021";"26";2;7;1
"LK Bamberg";"2021";"27";2;12;0
"LK Bamberg";"2021";"28";9;29;3
"LK Bamberg";"2021";"29";8;9;0
"LK Bamberg";"2021";"30";7;7;1
"LK Bamberg";"2021";"31";1;14;1
"LK Bamberg";"2021";"32";5;14;3
"LK Bamberg";"2021";"33";10;20;4
"LK Bamberg";"2021";"34";9;43;5
"LK Bamberg";"2021";"35";7;56;9
"LK Bamberg";"2021";"36";19;38;10
"LK Bamberg";"2021";"37";22;45;21
"LK Bamberg";"2021";"38";13;50;13
"LK Bamberg";"2021";"39";21;49;10
"LK Bamberg";"2021";"40";5;32;9
"LK Bamberg";"2021";"41";12;36;9
"LK Bamberg";"2021";"42";44;74;30
"LK Bamberg";"2021";"43";52;193;27
"LK Bamberg";"2021";"44";207;138;73
"LK Bamberg";"2021";"45";620;65;203
"LK Bamberg";"2021";"46";1051;53;109
"LK Bayreuth";"2021";"01";289;2;0
"LK Bayreuth";"2021";"02";221;4;0
"LK Bayreuth";"2021";"03";160;9;0
"LK Bayreuth";"2021";"04";148;14;0
"LK Bayreuth";"2021";"05";124;31;0
"LK Bayreuth";"2021";"06";72;40;0
"LK Bayreuth";"2021";"07";79;46;0
"LK Bayreuth";"2021";"08";60;60;0
"LK Bayreuth";"2021";"09";69;50;0
"LK Bayreuth";"2021";"10";41;83;0
"LK Bayreuth";"2021";"11";47;77;2
"LK Bayreuth";"2021";"12";32;144;1
"LK Bayreuth";"2021";"13";51;109;0
"LK Bayreuth";"2021";"14";42;123;0
"LK Bayreuth";"2021";"15";32;155;0
"LK Bayreuth";"2021";"16";61;86;0
"LK Bayreuth";"2021";"17";49;58;0
"LK Bayreuth";"2021";"18";43;28;0
"LK Bayreuth";"2021";"19";32;27;0
"LK Bayreuth";"2021";"20";17;19;0
"LK Bayreuth";"2021";"21";5;8;0
"LK Bayreuth";"2021";"22";3;2;0
"LK Bayreuth";"2021";"23";1;3;0
"LK Bayreuth";"2021";"24";1;1;0
"LK Bayreuth";"2021";"25";1;0;0
"LK Bayreuth";"2021";"26";2;2;0
"LK Bayreuth";"2021";"27";1;1;0
"LK Bayreuth";"2021";"28";1;2;0
"LK Bayreuth";"2021";"29";0;2;0
"LK Bayreuth";"2021";"30";2;4;2
"LK Bayreuth";"2021";"31";0;5;0
"LK Bayreuth";"2021";"32";4;5;2
"LK Bayreuth";"2021";"33";10;20;1
"LK Bayreuth";"2021";"34";3;20;1
"LK Bayreuth";"2021";"35";2;6;0
"LK Bayreuth";"2021";"36";7;15;2
"LK Bayreuth";"2021";"37";6;26;2
"LK Bayreuth";"2021";"38";12;8;0
"LK Bayreuth";"2021";"39";22;30;0
"LK Bayreuth";"2021";"40";35;44;2
"LK Bayreuth";"2021";"41";22;44;2
"LK Bayreuth";"2021";"42";37;50;2
"LK Bayreuth";"2021";"43";52;65;0
"LK Bayreuth";"2021";"44";127;100;1
"LK Bayreuth";"2021";"45";375;90;0
"LK Bayreuth";"2021";"46";442;52;0
"LK Berchtesgadener Land";"2021";"01";357;0;0
"LK Berchtesgadener Land";"2021";"02";252;1;0
"LK Berchtesgadener Land";"2021";"03";221;0;1
"LK Berchtesgadener Land";"2021";"04";184;20;1
"LK Berchtesgadener Land";"2021";"05";114;5;0
"LK Berchtesgadener Land";"2021";"06";121;3;0
"LK Berchtesgadener Land";"2021";"07";88;7;1
"LK Berchtesgadener Land";"2021";"08";92;23;0
"LK Berchtesgadener Land";"2021";"09";62;21;2
"LK Berchtesgadener Land";"2021";"10";98;35;5
"LK Berchtesgadener Land";"2021";"11";113;31;3
"LK Berchtesgadener Land";"2021";"12";48;49;3
"LK Berchtesgadener Land";"2021";"13";52;46;2
"LK Berchtesgadener Land";"2021";"14";58;106;1
"LK Berchtesgadener Land";"2021";"15";82;71;1
"LK Berchtesgadener Land";"2021";"16";79;71;0
"LK Berchtesgadener Land";"2021";"17";75;64;0
