Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
TH;14;14;2020;11
TH;15;15;2020;21
TH;16;16;2020;27
TH;17;17;2020;26
TH;18;18;2020;22
TH;19;19;2020;20
TH;20;20;2020;20
TH;21;21;2020;11
TH;22;22;2020;11
TH;23;23;2020;5
TH;24;24;2020;5
TH;25;25;2020;5
TH;26;26;2020;0
TH;27;27;2020;<4
TH;28;28;2020;<4
TH;29;29;2020;<4
TH;30;30;2020;0
TH;31;31;2020;<4
TH;32;32;2020;<4
TH;33;33;2020;0
TH;34;34;2020;0
TH;35;35;2020;0
TH;36;36;2020;0
TH;37;37;2020;<4
TH;38;38;2020;<4
TH;39;39;2020;0
TH;40;40;2020;<4
TH;41;41;2020;<4
TH;42;42;2020;4
TH;43;43;2020;<4
TH;44;44;2020;15
TH;45;45;2020;27
TH;46;46;2020;41
TH;47;47;2020;70
TH;48;48;2020;78
TH;49;49;2020;134
TH;50;50;2020;160
TH;51;51;2020;190
TH;52;52;2020;250
TH;53;53;2020;272
TH;54;1;2021;265
