Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
RP;2021;47;60
RP;2021;48;87
RP;2021;49;73
RP;2021;50;84
RP;2021;51;83
RP;2021;52;50
RP;2022;1;40
RP;2022;2;31
RP;2022;3;25
RP;2022;4;26
RP;2022;5;50
RP;2022;6;42
RP;2022;7;79
RP;2022;8;57
RP;2022;9;63
RP;2022;10;48
RP;2022;11;52
RP;2022;12;61
RP;2022;13;63
SL;2020;10;0
SL;2020;11;0
SL;2020;12;<4
SL;2020;13;7
SL;2020;14;22
SL;2020;15;37
SL;2020;16;39
SL;2020;17;19
SL;2020;18;14
SL;2020;19;9
SL;2020;20;8
SL;2020;21;5
SL;2020;22;<4
SL;2020;23;<4
SL;2020;24;<4
SL;2020;25;<4
SL;2020;26;<4
SL;2020;27;<4
SL;2020;28;0
SL;2020;29;0
SL;2020;30;0
SL;2020;31;0
SL;2020;32;0
SL;2020;33;0
SL;2020;34;0
SL;2020;35;<4
SL;2020;36;0
SL;2020;37;0
SL;2020;38;<4
SL;2020;39;<4
SL;2020;40;0
SL;2020;41;0
SL;2020;42;<4
SL;2020;43;5
SL;2020;44;16
SL;2020;45;19
SL;2020;46;22
SL;2020;47;28
SL;2020;48;16
SL;2020;49;36
SL;2020;50;45
SL;2020;51;52
SL;2020;52;53
SL;2020;53;61
SL;2021;1;68
SL;2021;2;58
SL;2021;3;51
SL;2021;4;40
SL;2021;5;43
SL;2021;6;35
SL;2021;7;32
SL;2021;8;19
SL;2021;9;18
SL;2021;10;9
SL;2021;11;5
SL;2021;12;7
SL;2021;13;5
SL;2021;14;6
SL;2021;15;7
SL;2021;16;14
SL;2021;17;10
SL;2021;18;8
SL;2021;19;11
SL;2021;20;12
SL;2021;21;6
SL;2021;22;5
SL;2021;23;4
SL;2021;24;0
SL;2021;25;0
SL;2021;26;<4
SL;2021;27;<4
SL;2021;28;0
SL;2021;29;0
SL;2021;30;0
SL;2021;31;<4
SL;2021;32;0
SL;2021;33;<4
SL;2021;34;<4
SL;2021;35;<4
SL;2021;36;6
SL;2021;37;4
SL;2021;38;<4
SL;2021;39;<4
SL;2021;40;7
SL;2021;41;<4
SL;2021;42;6
SL;2021;43;4
SL;2021;44;9
SL;2021;45;13
SL;2021;46;10
SL;2021;47;17
SL;2021;48;27
SL;2021;49;42
SL;2021;50;31
SL;2021;51;30
SL;2021;52;22
SL;2022;1;20
SL;2022;2;20
SL;2022;3;9
SL;2022;4;14
SL;2022;5;15
SL;2022;6;21
SL;2022;7;13
SL;2022;8;22
SL;2022;9;26
SL;2022;10;32
SL;2022;11;32
SL;2022;12;30
SL;2022;13;29
SN;2020;10;0
SN;2020;11;<4
SN;2020;12;<4
SN;2020;13;12
SN;2020;14;38
SN;2020;15;36
SN;2020;16;43
SN;2020;17;28
SN;2020;18;24
SN;2020;19;13
SN;2020;20;8
SN;2020;21;9
SN;2020;22;4
SN;2020;23;5
SN;2020;24;<4
SN;2020;25;0
SN;2020;26;<4
SN;2020;27;<4
SN;2020;28;0
SN;2020;29;0
SN;2020;30;0
SN;2020;31;0
SN;2020;32;0
SN;2020;33;0
SN;2020;34;0
SN;2020;35;0
SN;2020;36;0
SN;2020;37;<4
SN;2020;38;<4
SN;2020;39;7
SN;2020;40;9
SN;2020;41;9
SN;2020;42;26
SN;2020;43;51
SN;2020;44;102
SN;2020;45;146
SN;2020;46;223
SN;2020;47;281
SN;2020;48;434
SN;2020;49;467
SN;2020;50;647
SN;2020;51;872
SN;2020;52;899
SN;2020;53;792
SN;2021;1;702
SN;2021;2;536
SN;2021;3;490
SN;2021;4;430
SN;2021;5;304
SN;2021;6;265
SN;2021;7;163
